"","erdgas","waerme","fluessiggas","heizoel","holzpellets","strom","abrechnungsjahr"
"1",161625524.200743,0,0,184151164.028669,0,0,2002
"2",187487067.466054,6519650.9093154,0,157668974.041401,0,0,2003
"3",158220288.61103,15137593.3004954,0,189694645.029106,0,0,2004
"4",126216286.480721,20274100.9988125,554347.948248984,190199006.460825,0,0,2005
"5",142490497.977871,19811134.5933259,3834003.10989464,159195183.941859,0,0,2006
"6",143122733.573839,21498428.5398539,779136.84962091,160179851.655383,0,0,2007
"7",151207531.648084,35132400.1474338,3965020.37029816,125216081.681803,0,0,2008
"8",139035961.225692,34462543.593142,2195910.1971519,146234669.666249,0,480302.036129184,2009
"9",104886668.124398,26316751.784686,7049417.78331841,158674313.262599,3356353.89378524,16993735.575292,2010
"10",105565982.088153,9486174.28104918,10163719.996997,168946839.548964,4004796.31504887,27094028.4743329,2011
"11",106076677.906499,15313684.9042295,9499029.01858014,134174694.728385,11370598.3793294,21256490.8002668,2012
"12",130235940.453779,20531871.1186981,2320505.04864772,155685193.467331,0,6862469.19874479,2013
"13",137303720.844317,7704901.56379241,0,188202783.415228,0,16180293.2839641,2014
"14",105229545.624578,10194914.9381463,341440.066286181,164791075.204374,5292057.61467298,4760471.61739699,2015
"15",145073749.820122,16801257.3188048,516453.448210169,138801150.728687,2013261.90494475,0,2016
"16",122584397.143347,32829312.0110243,6392569.46212341,123264787.053983,7213233.4592491,3528935.75390956,2017
"17",263478163.1,0,0,0,0,0,2018
